title,year,genres,imdb,intent_1,intent_2,cluster_1,cluster_2,joy,sadness,fear,anger,disgust,surprise,trust,anticipation,curiosity,excitement,hope,love,guilt,shame,gratitude,loneliness,confidence,determination,regret,relief,nostalgia,compassion,anxiety,inspiration
The Dark Knight,2008,Action|Crime|Drama,9.0,adrenaline,,dark_intensity,engagement,0.03,0.08,0.18,0.16,0.04,0.06,0.05,0.07,0.06,0.09,0.04,0.00,0.02,0.01,0.00,0.03,0.06,0.05,0.03,0.02,0.00,0.01,0.03,0.03
Se7en,1995,Crime|Thriller,8.6,adrenaline,,dark_intensity,emotional_pain,0.01,0.14,0.22,0.10,0.06,0.07,0.02,0.04,0.04,0.05,0.01,0.00,0.03,0.02,0.00,0.06,0.04,0.02,0.03,0.04,0.01,0.01,0.00,0.01,0.07,0.01
Gladiator,2000,Action|Drama,8.5,adrenaline,inspiration,dark_intensity,meaning_growth,0.05,0.12,0.06,0.18,0.03,0.05,0.06,0.07,0.03,0.06,0.12,0.02,0.02,0.00,0.03,0.02,0.02,0.03,0.09,0.08,0.03,0.03,0.01,0.04,0.03,0.07
The Matrix,1999,Sci-Fi|Action,8.7,contemplation,adrenaline,engagement,meaning_growth,0.04,0.05,0.10,0.07,0.02,0.07,0.05,0.08,0.12,0.10,0.08,0.01,0.01,0.00,0.02,0.02,0.01,0.02,0.09,0.07,0.02,0.02,0.01,0.01,0.03,0.05
Parasite,2019,Drama|Thriller,8.6,contemplation,catharsis,emotional_pain,dark_intensity,0.02,0.14,0.08,0.10,0.04,0.07,0.04,0.05,0.05,0.05,0.04,0.01,0.04,0.03,0.00,0.06,0.05,0.03,0.04,0.05,0.02,0.01,0.00,0.02,0.04,0.03
Whiplash,2014,Drama|Music,8.5,adrenaline,catharsis,engagement,emotional_pain,0.03,0.08,0.05,0.12,0.02,0.04,0.03,0.06,0.06,0.09,0.04,0.01,0.02,0.01,0.00,0.03,0.03,0.02,0.05,0.10,0.02,0.01,0.00,0.01,0.03,0.04
Her,2013,Romance|Drama,8.0,comfort,contemplation,emotional_pain,meaning_growth,0.08,0.14,0.02,0.01,0.00,0.04,0.07,0.06,0.06,0.03,0.10,0.12,0.01,0.00,0.04,0.06,0.03,0.07,0.04,0.02,0.05,0.06,0.05,0.04,0.01,0.05
Up,2009,Animation|Adventure,8.3,comfort,inspiration,positive_energy,emotional_pain,0.18,0.12,0.02,0.01,0.00,0.05,0.10,0.06,0.04,0.03,0.12,0.10,0.00,0.00,0.07,0.04,0.03,0.05,0.06,0.04,0.03,0.05,0.06,0.05,0.01,0.08
Toy Story,1995,Animation|Comedy,8.3,comfort,fun,positive_energy,engagement,0.22,0.05,0.00,0.00,0.00,0.05,0.12,0.06,0.04,0.05,0.10,0.10,0.00,0.00,0.08,0.03,0.05,0.03,0.04,0.03,0.01,0.04,0.06,0.05,0.00,0.06
The Pursuit of Happyness,2006,Drama,8.0,inspiration,comfort,meaning_growth,emotional_pain,0.08,0.14,0.03,0.02,0.00,0.03,0.08,0.06,0.03,0.02,0.16,0.04,0.02,0.00,0.06,0.03,0.02,0.05,0.10,0.06,0.04,0.07,0.03,0.05,0.01,0.12
A Quiet Place,2018,Horror|Thriller,7.5,adrenaline,,dark_intensity,engagement,0.01,0.06,0.20,0.06,0.04,0.08,0.03,0.05,0.05,0.06,0.03,0.01,0.02,0.01,0.00,0.04,0.04,0.03,0.04,0.05,0.01,0.01,0.00,0.01,0.07,0.02
Mad Max: Fury Road,2015,Action|Sci-Fi,8.1,adrenaline,,dark_intensity,engagement,0.03,0.05,0.12,0.16,0.04,0.07,0.04,0.08,0.05,0.14,0.04,0.01,0.01,0.00,0.01,0.02,0.02,0.02,0.10,0.12,0.02,0.01,0.00,0.01,0.04,0.03
The Wolf of Wall Street,2013,Biography|Drama,8.2,fun,catharsis,engagement,emotional_pain,0.12,0.05,0.02,0.06,0.01,0.06,0.06,0.08,0.05,0.07,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.08,0.05,0.04,0.03,0.02,0.02,0.01,0.04
Black Swan,2010,Drama|Thriller,8.0,catharsis,,emotional_pain,dark_intensity,0.02,0.14,0.10,0.08,0.04,0.06,0.03,0.05,0.04,0.05,0.02,0.00,0.04,0.03,0.00,0.06,0.04,0.03,0.03,0.06,0.02,0.01,0.00,0.01,0.05,0.02
Slumdog Millionaire,2008,Drama|Romance,8.0,inspiration,romance,meaning_growth,emotional_pain,0.10,0.12,0.04,0.03,0.01,0.05,0.07,0.06,0.04,0.04,0.14,0.10,0.01,0.00,0.05,0.04,0.03,0.06,0.05,0.04,0.03,0.05,0.04,0.05,0.01,0.10
Coco,2017,Animation|Drama,8.4,comfort,inspiration,meaning_growth,emotional_pain,0.18,0.12,0.01,0.01,0.00,0.04,0.10,0.06,0.04,0.03,0.14,0.08,0.00,0.00,0.08,0.05,0.04,0.06,0.05,0.04,0.03,0.05,0.06,0.06,0.01,0.10
Gravity,2013,Sci-Fi|Thriller,7.7,adrenaline,contemplation,engagement,dark_intensity,0.02,0.06,0.18,0.04,0.02,0.07,0.03,0.06,0.07,0.06,0.04,0.01,0.01,0.00,0.01,0.03,0.03,0.03,0.06,0.07,0.02,0.01,0.00,0.01,0.06,0.02
Django Unchained,2012,Drama|Western,8.4,adrenaline,catharsis,dark_intensity,meaning_growth,0.05,0.10,0.05,0.16,0.03,0.06,0.05,0.07,0.03,0.06,0.10,0.02,0.02,0.00,0.03,0.03,0.02,0.03,0.08,0.08,0.03,0.03,0.01,0.03,0.04,0.06
The Social Network,2010,Drama|Biography,7.7,contemplation,,engagement,emotional_pain,0.05,0.08,0.02,0.04,0.01,0.04,0.05,0.06,0.06,0.05,0.04,0.01,0.03,0.02,0.01,0.04,0.03,0.05,0.07,0.05,0.04,0.04,0.02,0.02,0.01,0.05
Life of Pi,2012,Adventure|Drama,7.9,contemplation,inspiration,meaning_growth,emotional_pain,0.10,0.12,0.06,0.02,0.01,0.05,0.06,0.06,0.05,0.04,0.14,0.04,0.02,0.00,0.05,0.04,0.03,0.06,0.05,0.04,0.03,0.05,0.04,0.05,0.01,0.10
The Grand Budapest Hotel,2014,Comedy|Drama,8.1,fun,comfort,positive_energy,engagement,0.18,0.06,0.02,0.02,0.01,0.06,0.08,0.06,0.05,0.06,0.06,0.03,0.01,0.00,0.06,0.03,0.04,0.03,0.04,0.03,0.02,0.04,0.05,0.04,0.01,0.05
The Lion King,1994,Animation|Drama,8.5,inspiration,comfort,meaning_growth,emotional_pain,0.14,0.12,0.03,0.04,0.01,0.05,0.08,0.06,0.04,0.03,0.14,0.06,0.01,0.00,0.07,0.04,0.03,0.06,0.06,0.04,0.03,0.05,0.06,0.05,0.01,0.10
